x,y_true,y_sampled
4.929742,2.2693896,1.0851331
3.0942407,-10.127671,-9.38873
2.4858866,-0.122622184,-8.206723
5.432876,-0.21059279,-0.61699426
3.084602,0.16747935,-0.064374685
3.1338475,0.54277056,-10.77989
4.3996677,-4.4332957,-0.018699646
3.9788888,0.83809775,-7.611826
5.854952,10.194754,0.27876472
4.0753746,1.4125117,-0.11045945
2.9032483,-1.2945586,-10.346255
4.3829694,-3.6937146,1.4613862
3.373227,0.7666086,1.0427752
3.791198,-0.20887122,-7.506912
3.4064703,-1.357754,-9.180671
3.02782,-1.2940526,-9.72891
3.439538,-10.230218,0.16848326
4.3628454,0.015456214,-0.67496216
4.6019974,0.17156315,-0.6645597
2.4784074,-7.8363395,-6.82146
2.659011,0.30879787,1.1380055
3.4473572,-8.3389015,-1.2327826
3.767758,-1.6508824,-8.190369
2.6296237,0.14034624,-0.51881194
2.084476,-3.6146493,-5.6699595
5.7978153,8.006289,8.554948
4.510238,-0.79576766,-0.13652444
3.1080751,1.9223703,-11.268876
4.2467713,-4.0191884,-2.4889004
2.5840847,-0.5538905,-1.4332483
5.118316,-1.6462238,5.313136
2.951668,-11.0560055,-1.2395122
3.723993,-7.639436,-6.1830835
2.456684,0.2503748,-6.7500257
4.3162937,-5.1667027,-0.7114651
4.30272,-4.9404907,-3.4906113
4.474587,-0.12063689,0.16709518
4.869897,0.679249,-0.9481635
4.6398225,-0.11269486,0.34497666
4.284527,-0.8281728,0.15601683
4.5708804,-1.2068461,-2.6523075
3.9439607,-6.0897546,-7.6699696
5.4968796,0.14042893,-2.1481628
2.0558755,-5.223486,-0.44426215
2.2454262,-5.5215673,-5.938733
3.7553458,-7.1925154,1.3455327
2.0992136,-5.0261416,-6.1214476
4.6548133,-1.2231936,-0.48371267
5.255624,-0.54402035,3.671077
3.7688007,-8.07242,-8.782943
3.689389,-7.8899975,-0.5546901
4.7486396,-0.4281991,2.271137
4.1634912,1.7908834,1.5824172
3.520121,-10.815316,-10.449557
3.1717737,-0.33786857,0.5075643
3.1467843,-9.48541,0.1208477
5.4137363,6.2386746,6.3146267
4.0677233,-6.4857078,0.8032632
3.5130816,-0.91948205,-9.277862
4.2305274,-0.4454297,-5.929927
4.6899486,-1.6817019,-0.73507965
4.456775,-2.7027216,-1.0204406
2.9574523,-8.156185,-10.15838
5.123249,4.6693864,0.6146605
3.7782025,-7.217416,-5.5222178
4.6985626,0.44795263,0.0893116
4.7924995,-0.0012915134,1.6742871
5.3650184,6.4656615,-0.543604
3.4170365,-1.5065061,-8.352706
4.379505,-1.1994662,-4.7866573
3.0249352,-9.435244,-9.208489
2.7121534,-0.52934283,-9.902319
3.4004579,-0.00038569333,-8.912736
5.0061607,0.30728352,-0.22716057
4.0413146,-0.5026236,-6.974489
3.3987682,-9.1678705,0.25769186
3.7218738,-8.029091,0.57371044
5.8515334,8.942594,11.730099
2.8311508,-10.226079,-0.1925919
3.6990337,-1.7963609,-1.1232626
3.3983731,-10.111857,-9.730927
5.8394856,0.5969931,9.776363
3.5026898,-11.889946,-7.767024
3.407567,-8.922813,0.58197284
4.9556127,2.3899603,-1.122714
5.6423388,7.0065274,8.615059
5.4839272,6.775225,0.39087272
2.6007721,-9.836324,-0.37189782
4.1048,-5.383825,1.135108
4.048477,-1.2440252,0.54254436
3.807031,-8.102373,-0.042319775
2.903407,-9.223585,-0.09741819
5.9431458,0.41379452,0.42921066
4.141197,-6.5817947,0.41890383
4.1327252,-6.33621,0.49341345
3.8334808,-7.886863,-8.029965
4.9792204,0.19932285,0.9705558
4.3855853,-4.0065794,-2.4825754
5.1124396,3.9039636,-0.60225
4.468045,-1.7783304,0.037347555
4.537145,-1.3977301,0.93751574
4.051435,1.8288624,-6.5987225
3.5905075,0.023245664,-8.981079
3.2023644,-9.157873,0.12625623
4.3118224,-0.42948195,-3.066821
4.3660665,-0.7070063,-0.73499227
2.5218759,-0.20903003,-8.118979
4.147568,-5.8932457,-4.291708
4.3830166,-3.6112304,1.9898674
2.6826577,-5.719468,0.60762286
2.866866,-9.205089,0.11055827
3.1755438,-1.499165,-0.72874486
4.7082615,0.43904632,-0.60045385
3.0848427,1.378493,-9.428151
4.2276263,0.50469613,-4.7039557
2.8662276,1.418531,-9.763953
